date,VT,BWX,GLD,SHV
2013-01-18,27.4958,26.0903,163.08999633789062,88.92121887207031
2013-01-22,27.6958,26.1603,163.6699981689453,88.92121887207031
2013-01-23,27.6558,26.2053,163.2100067138672,88.92121887207031
2013-01-24,27.7558,26.0703,161.4199981689453,88.91307067871094
2013-01-25,28.0358,26.1053,160.64999389648438,88.91307067871094
2013-01-28,27.8358,25.9703,160.2899932861328,88.91307067871094
2013-01-29,28.1158,26.0553,160.99000549316406,88.92121887207031
2013-01-30,28.0458,26.0903,162.19000244140625,88.92121887207031
2013-01-31,27.9058,26.1753,161.1999969482422,88.92121887207031
2013-02-01,28.3858,26.0851,161.4499969482422,88.92362976074219
2013-02-04,27.6558,26.0201,162.0,88.91549682617188
2013-02-05,28.0058,25.9251,161.9600067138672,88.92362976074219
2013-02-06,28.0558,25.8151,162.38999938964844,88.92362976074219
2013-02-07,27.7858,25.7251,161.83999633789062,88.91549682617188
2013-02-08,28.0958,25.7851,161.57000732421875,88.91549682617188
2013-02-11,28.0258,25.6651,159.6999969482422,88.92362976074219
2013-02-12,28.1858,25.7701,159.88999938964844,88.92362976074219
2013-02-13,28.2858,25.7501,159.0500030517578,88.92362976074219
2013-02-14,28.2058,25.7301,158.35000610351562,88.91549682617188
2013-02-15,28.0758,25.6551,155.75999450683594,88.91549682617188
2013-02-19,28.5258,25.6901,155.3300018310547,88.91549682617188
2013-02-20,27.9358,25.4401,151.44000244140625,88.91549682617188
2013-02-21,27.4058,25.4401,152.6199951171875,88.90747833251953
2013-02-22,27.9258,25.4401,152.97000122070312,88.91549682617188
2013-02-25,26.9658,25.4101,154.33999633789062,88.91549682617188
2013-02-26,27.2858,25.3801,156.22000122070312,88.91549682617188
2013-02-27,27.8458,25.5001,154.57000732421875,88.91549682617188
2013-02-28,27.7458,25.4401,153.0,88.91549682617188
2013-03-01,27.8758,25.3079,152.44000244140625,88.9163589477539
2013-03-04,27.9958,25.3529,152.3000030517578,88.90827941894531
2013-03-05,28.4758,25.4129,152.3800048828125,88.90827941894531
2013-03-06,28.5558,25.2129,153.22999572753906,88.9163589477539
2013-03-07,28.7458,25.2979,152.69000244140625,88.9163589477539
2013-03-08,28.9558,25.0879,152.7100067138672,88.90827941894531
2013-03-11,29.1058,25.0629,152.99000549316406,88.90827941894531
